Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
Fallaga Team,Dec 2016,Retired,Tunisia,2,3,Targeted,Hacktivism
--,Sep 2016,Retired,China,3,6,Targeted,State-Sponsored
"APT-22, Winnti, LEAD",Jul 2016,Retired,China,1,8,eCrime,"State-Sponsored, Criminal"
LizardSquad,May 2016,Retired,United States,5,3,Targeted,Hacktivism
"TeslaCrypt, EccKrypt",May 2016,Inactive,Unknown,0,0,eCrime,Criminal
--,Feb 2016,Retired,China,1,2,Targeted,State-Sponsored
"DD4BC, Ambiorx",Jan 2016,Inactive,Unknown,2,8,eCrime,Criminal
"APT-2, MSUpdater, 4H Crew, SULPHUR",Jan 2016,Inactive,China,4,3,Targeted,State-Sponsored
"SODIUM, APT4, Getkys, Sykipot Group, Wkysol",Nov 2015,Inactive,China,2,1,Targeted,State-Sponsored
--,Oct 2015,Inactive,Unknown,3,5,eCrime,Criminal
Vikingdom,Aug 2015,Retired,United Arab Emirates,5,1,Targeted,Hacktivism
DragonOK,Jul 2015,Inactive,China,3,1,Targeted,State-Sponsored
"TG-0416, Nitro (Low Confidence), Wekby, APT18, SCANDIUM",Jul 2015,Inactive,China,7,3,Targeted,State-Sponsored
Gantengers Crew,Jun 2015,Retired,Indonesia,6,7,Targeted,Hacktivism
"Operation Aurora, Axiom, Group 72, HELIUM, BRONZE KEYSTONE, APT17, Deputy Dog, Tailgater, Ragebeast, LadyBoyle, Hidden Lynx",May 2015,Inactive,China,13,6,Targeted,State-Sponsored
ITSecTeam,Apr 2015,Inactive,Iran,2,0,Targeted,State-Sponsored
"Saffron Rose, Magic Hound",Feb 2015,Inactive,Iran,4,6,Targeted,State-Sponsored
Pitty Tiger,Dec 2014,Inactive,China,3,2,Targeted,State-Sponsored
--,Nov 2014,Inactive,Russian Federation,1,2,eCrime,Criminal
--,Nov 2014,Inactive,China,3,2,Targeted,State-Sponsored
--,Nov 2014,Inactive,China,1,1,Targeted,State-Sponsored
"TH3Bug, APT20",Nov 2014,Inactive,China,6,4,Targeted,State-Sponsored
"Operation Ababil, OpAbabil",Sep 2014,Retired,Iran,1,1,Targeted,State-Sponsored
--,Sep 2014,Inactive,China,1,1,Targeted,State-Sponsored
FIN4,Jul 2014,Inactive,Unknown,2,1,eCrime,Criminal
"Shylock, Caphaw",Jul 2014,Inactive,Russian Federation,1,1,eCrime,Criminal
"Saffron Rose, Ajax Security Team",Jun 2014,Inactive,Iran,7,2,Targeted,State-Sponsored
"Dragonfly, BROMINE, Crouching Yeti, Havex",Jun 2014,Retired,Russian Federation,8,18,Targeted,State-Sponsored
--,May 2014,Inactive,China,3,4,Targeted,State-Sponsored
--,Feb 2014,Retired,Russian Federation,1,8,Targeted,State-Sponsored
"APT9, Flowerlady/Flowershow",Dec 2013,Retired,China,3,2,Targeted,State-Sponsored
"APT1, Comment Crew, FLOURINE",Dec 2013,Inactive,China,13,14,Targeted,State-Sponsored
Tunisian Cyber Army,Sep 2013,Retired,Tunisia,5,1,Targeted,Hacktivism
Icefog,Jul 2013,Inactive,China,7,3,Targeted,State-Sponsored
"APT14, QAZ Team, ALUMINUM",Jul 2013,Inactive,China,5,11,Targeted,State-Sponsored
TeamSpy,May 2013,Retired,Russian Federation,0,15,Targeted,State-Sponsored
Google-blogspot (Sunshop Digital Quartermaster),Apr 2013,Retired,China,3,1,Targeted,State-Sponsored
--,Oct 2012,Retired,China,1,0,Targeted,State-Sponsored
--,Apr 2012,Inactive,China,1,1,Targeted,State-Sponsored
